관광상품번호(NameID),관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,도로명전체주소,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,주메뉴,좌표정보(위도),좌표정보(경도),위생업태명,다중이용업소여부,음식점 분류,카테고리
4000001,5360000-101-2021-00063,2021-05-10,1,영업/정상,13,영업중,"경상남도 밀양시 상남면 운하길 1, 1층 102호",경상남도 밀양시 상남면 예림리 1138-2,밀양김밥,2021-10-01,U,2021-10-03,김밥(도시락),김밥+일미김밥+해물우동+해물라면,35.46479771,128.7572339,김밥(도시락),N,일반음식점,포장(도시락)
4000002,5360000-101-2021-00057,2021-04-29,1,영업/정상,13,영업중,경상남도 밀양시 역앞광장로 14-15 (가곡동),경상남도 밀양시 가곡동 592-5,다담뜰한식뷔페 밀양점,2021-09-23,U,2021-09-25,한식,한식뷔페,35.47297703,128.7681284,한식,N,일반음식점,뷔페식
4000003,5360000-101-2021-00081,2021-06-16,1,영업/정상,13,영업중,"경상남도 밀양시 부북면 퇴로로 257, 1,2층",경상남도 밀양시 부북면 퇴로리 356-6,아뜰리에,2021-09-13,U,2021-09-15,경양식,바닐라라떼+아인슈페너+단짠단짠솔티라떼+퇴로못라떼+패션후르츠에이드,35.54911017,128.7031474,경양식,Y,일반음식점,카페(디저트)
4000004,5360000-101-2021-00062,2021-05-03,1,영업/정상,13,영업중,"경상남도 밀양시 미리벌중앙로1길 12, 1층 (삼문동)",경상남도 밀양시 삼문동 722-10,고혹,2021-05-03,I,2021-05-05,한식,명란치즈감자전+우삼겹얼큰전골+스지사태전골+고혹새우,35.48189417,128.7489215,한식,N,일반음식점,술집
4000005,5360000-101-2018-00127,2018-02-05,1,영업/정상,13,영업중,"경상남도 밀양시 중앙로 139, 1층 (가곡동)",경상남도 밀양시 가곡동 640-1,스즈란,2021-05-03,I,2021-05-05,일식,라멘+새우완탕명+사천식새우완탕,35.47787796,128.7640589,일식,N,일반음식점,일식
4000006,5360000-101-2021-00067,2021-05-13,1,영업/정상,13,영업중,경상남도 밀양시 삼랑진읍 검세길 47,경상남도 밀양시 삼랑진읍 검세리 546-38,날마다국수,2021-05-13,I,2021-05-15,한식,국수+비빔국수+매생이칼국수,35.40533492,128.8491953,한식,N,일반음식점,한식
4000007,5360000-101-2021-00080,2021-06-16,1,영업/정상,13,영업중,경상남도 밀양시 삼문중앙로 15-6 (삼문동),경상남도 밀양시 삼문동 189-38,삼초전(판다상점),2021-06-16,I,2021-06-18,한식,초벌삼겹살+초벌막창+탕후루,35.48418354,128.7541082,한식,N,일반음식점,고깃집(정육점)
4000008,5360000-101-2021-00078,2021-06-09,1,영업/정상,13,영업중,경상남도 밀양시 백민로 11 (내이동),경상남도 밀양시 내이동 1008-1,향어11번지,2021-06-09,I,2021-06-11,생선회,향어,35.4935915,128.7478075,생선회,N,일반음식점,생선회
4000009,5360000-101-2021-00065,2021-05-11,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로1길 12-1 (삼문동),경상남도 밀양시 삼문동 721-7,꽃뿐이네&부전엄마산곰장어,2021-11-29,U,2021-12-01,기타,석쇠곰장어+석쇠닭불고기,35.48175553,128.7486577,기타,N,일반음식점,한식
4000010,5360000-101-2021-00064,2021-05-11,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로1길 12-1 (삼문동),경상남도 밀양시 삼문동 721-7,무한도전 손칼국수,2022-01-26,U,2022-01-28,한식,칼국수+어묵칼국수+비빔칼국수+들깨칼국수,35.48175553,128.7486577,한식,N,일반음식점,한식
4000011,5360000-101-2021-00088,2021-06-25,1,영업/정상,13,영업중,경상남도 밀양시 상남면 양림동촌1길 6,경상남도 밀양시 상남면 예림리 941-5,부산생아구,2022-04-18,U,2022-04-20,한식,생아구찜+생아구수육,35.46898862,128.7628494,한식,N,일반음식점,한식
4000012,5360000-101-2021-00082,2021-06-17,1,영업/정상,13,영업중,"경상남도 밀양시 초동면 검암4길 96-46, 1층",경상남도 밀양시 초동면 검암리 736-4,오로라힐스,2021-07-06,U,2021-07-08,경양식,오로라페스츄리스프+오로라수제버터크림라떼+오로라레몬피치,35.39836513,128.6850484,경양식,N,일반음식점,양식
4000013,5360000-101-2021-00089,2021-06-28,1,영업/정상,13,영업중,"경상남도 밀양시 하남읍 수산중앙로 73-12, 1층",경상남도 밀양시 하남읍 양동리 649-19,동금숯불생고기,2021-06-28,I,2021-06-30,식육(숯불구이),명품수제양념갈비+돼지한근+대패삼겹한판,35.3759178,128.7139682,식육(숯불구이),N,일반음식점,고깃집(정육점)
4000014,5360000-101-2021-00071,2021-05-25,1,영업/정상,13,영업중,"경상남도 밀양시 삼문강변로 58, 301-3호 (삼문동, 성조에이스아파트)",경상남도 밀양시 삼문동 63-1 성조에이스아파트,수월리,2021-05-25,I,2021-05-27,기타,아몬드크림라떼+흑임자카페라떼+딸기우유,35.47904039,128.756554,기타,N,일반음식점,카페(디저트)
4000015,5360000-101-2021-00079,2021-06-14,1,영업/정상,13,영업중,"경상남도 밀양시 미리벌중앙로 91, 나동 1층 (삼문동)",경상남도 밀양시 삼문동 483-3,짚신매운갈비찜 밀양점,2021-06-14,I,2021-06-16,한식,매운 돼지갈비찜+매운 소갈비찜,35.48532351,128.7470369,한식,N,일반음식점,한식
